nr,genres,popularity,spoken_languages,vote_average,keywords,budget,adult
95,"[53, 80, 18, 9648]",15.892,['English'],7.7,"[516, 697, 739, 818, 1328, 1522, 1660, 1679, 1680, 1682, 1700, 1797, 12570, 33720, 184988, 232766]",25000000,False
96,[18],10.5,['English'],7.9,"[242, 417, 596, 2136, 2458, 7271, 8201, 9826, 10177, 12193, 14522, 18298, 41153, 191509, 202429, 203286, 203287, 206075]",3800000,False
97,"[80, 18, 53]",25.734,"['English', 'Spanish']",7.9,"[422, 798, 818, 1556, 2149, 2708, 5616, 6259, 8087, 10511, 18034, 160798, 168713, 193021, 207268, 208289, 255356, 259279, 265556, 279115]",25000000,False
98,"[9648, 53]",15.426,['English'],8.0,"[242, 441, 470, 471, 4654, 9840, 10325, 10562, 10718, 11134, 15086, 15124, 163049, 180172]",4000000,False
99,"[53, 10749]",13.797,['English'],7.8,"[351, 699, 1459, 1568, 1627, 1809, 1811, 1812, 1815, 1816, 2652, 5600, 9807, 11134, 12999, 33626, 155718]",1000000,False
100,"[18, 10749]",19.851,['Italian'],8.5,"[629, 886, 970, 5091, 9856, 10683, 156597, 173719, 179428, 246529]",5000000,False
101,"[80, 18]",11.518,['English'],8.0,"[586, 9826, 10391, 12999, 15137, 47079, 69467, 156151]",910000,False
102,"[18, 80]",25.548,"['English', 'French', 'Hebrew', 'Italian', 'Yiddish']",8.4,"[242, 314, 417, 542, 570, 625, 725, 739, 802, 947, 975, 1632, 3149, 6220, 9826, 10937, 13006, 158967, 160246, 207876, 208992, 214548]",30000000,False
103,[18],18.253,['English'],8.4,"[428, 818, 1897, 2574, 6054, 11612, 166726, 190255, 190939]",3000000,False
104,"[80, 18]",13.195,"['English', 'Spanish']",7.9,"[378, 9777, 10787, 11267, 14641, 181962, 193275, 195897, 204725, 214548]",12000000,False
105,"[18, 10752]",10.136,"['English', 'Italian', 'Latin', 'German']",8.3,"[74, 254, 818, 1402, 1627, 2504, 6092, 6987, 7956, 9031, 12999, 13065, 34117, 165431, 210184, 288302]",935000,False
106,[37],18.88,"['Italian', 'Spanish']",7.9,"[2987, 5332, 6062, 9714, 9826, 156212]",200000,False
107,[18],12.933,['Swedish'],8.3,"[428, 718, 1566, 10085, 14781, 159313, 166989, 198914, 208788]",0,False
108,"[12, 14, 28]",80.959,['English'],7.8,"[911, 1318, 1319, 1321, 3266, 4062, 4107, 5744, 12988, 157186, 160279, 167861, 179430, 185200, 224626, 235626]",140000000,False
109,"[18, 10752, 28]",26.733,"['English', 'Vietnamese']",7.7,"[502, 1327, 1960, 2321, 2957, 3737, 5331, 10787, 11106, 12365, 13065, 14643, 14690, 14783, 15240, 18543, 158480, 163968, 163984, 165431, 180204, 198590, 216986, 220446, 234492, 234939, 240379, 249589, 268120]",6000000,False
110,"[27, 18, 53]",24.716,['English'],8.4,"[612, 1443, 1859, 1879, 2217, 2669, 9719, 10594, 11677, 12999, 13092, 13112, 14604, 41329, 155790, 156091, 233450]",806947,False
111,"[53, 80]",51.658,"['English', 'Spanish', 'French']",8.5,"[2231, 2792, 4076, 8627, 9730, 10104, 11435, 11436, 11442, 12670, 14604, 157171, 207268, 255024]",8000000,False
112,"[18, 36]",15.585,['English'],8.0,"[396, 931, 2320, 2340, 2792, 5301, 5565, 5572, 5573, 6075, 11925, 155464]",18000000,False
113,"[12, 28]",35.295,"['English', 'Spanish', 'German', 'Hebrew', 'Arabic', 'Nepali']",7.9,"[83, 483, 485, 486, 487, 488, 1160, 1294, 1454, 1456, 2650, 2652, 2656, 2853, 2854, 2856, 6956, 9032, 11105, 41586, 175428, 184134, 205333, 214548]",18000000,False
114,[18],16.319,"['Italian', 'English']",7.8,"[30, 697, 791, 1646, 1873, 1874, 1906, 7312, 7996, 8057, 9935, 11428, 14570, 15106, 179431, 181318]",25000000,False
115,"[28, 18, 36]",14.155,['Japanese'],8.1,"[441, 1419, 3098, 4152, 5332, 5515, 6917, 9748, 11323, 18100, 156479, 162715, 196349, 198754, 204055, 215015]",11500005,False
116,"[16, 35, 10751, 14]",110.068,"['English', 'French']",7.8,"[90, 380, 996, 1261, 1650, 2161, 2227, 2246, 2982, 3640, 3910, 6074, 6808, 10637, 18293, 41412, 167982, 189359]",150000000,False
117,"[53, 9648]",17.845,['English'],8.4,"[428, 1003, 2619, 5490, 10226, 10332, 12570, 160967, 178649, 222665, 236909, 243509, 259124, 259125]",1000000,False
118,"[9648, 18, 53, 10749]",10.893,"['English', 'French']",7.9,"[660, 818, 965, 1328, 1523, 3582, 8079, 9673, 9807, 11004, 14769, 17997, 34079, 155881, 188990, 228602]",1288000,False
119,"[80, 18]",9.846,['English'],8.0,"[1803, 2375, 2671, 3428, 3429, 6059, 11494, 33625]",4500000,False
120,"[80, 53]",32.514,['English'],8.2,"[2052, 6099, 6259, 9727, 10051, 10085, 10092, 10685, 10726, 11071, 34117, 157171, 157892, 171826, 177438, 188665, 201058, 207784, 224552, 233069, 233072, 233073, 255024, 268132]",1200000,False
121,[18],33.999,['English'],7.8,"[240, 276, 396, 700, 1721, 2038, 2416, 2792, 4097, 4613, 4663, 4902, 5378, 5383, 6067, 6075, 209476]",1000000,False
122,"[10749, 35, 18]",12.264,"['English', 'Italian']",7.9,"[588, 1308, 1422, 1691, 2051, 3691, 4123, 4263, 4674, 6025, 253829]",1500000,False
123,"[80, 53]",13.834,['English'],8.0,"[4814, 5575, 5579, 6399, 9826, 10181, 11440, 182599]",1500000,False
124,"[18, 27]",21.233,['English'],7.8,"[818, 1157, 3099, 161261, 161270, 161534, 162806, 163055, 168346, 172382, 183896]",3200000,False
125,"[18, 36, 10752]",45.529,"['Czech', 'German', 'English', 'French']",8.2,"[1327, 1430, 1543, 1956, 2770, 3800, 3930, 4299, 4300, 4302, 4303, 4304, 6092, 6917, 7956, 9156, 9672, 11107, 11108, 11111, 11371, 13065, 34079, 162365, 202396, 207883]",70000000,False
126,"[28, 80, 18, 53]",40.168,"['English', 'Spanish']",8.2,"[380, 416, 417, 697, 701, 947, 2150, 3149, 6974, 9714, 10175, 10391, 18026, 157223, 165725, 208335, 208396, 213914]",25000000,False
127,"[18, 36, 10752]",32.761,"['German', 'Polish', 'Hebrew', 'English']",8.6,"[818, 1382, 1631, 1701, 1739, 1799, 1956, 2394, 2433, 2446, 2450, 2456, 2652, 3599, 5565, 9672, 12995, 13008, 21747, 234812]",22000000,False
128,"[80, 9648, 53]",36.578,['English'],8.3,"[476, 703, 1470, 2231, 3597, 3857, 3927, 3932, 4138, 4142, 5340, 6125, 6149, 10714, 12570, 207268]",33000000,False
129,"[18, 53, 9648]",42.337,"['English', 'German']",8.2,"[818, 2041, 2215, 5340, 10323, 11207, 11208, 12565, 12570, 207268, 208611]",80000000,False
130,"[53, 28, 80]",21.298,['English'],7.4,"[4565, 9717, 15365, 18712, 175593, 175600, 175610, 207268, 220508]",40000000,False
131,"[35, 10402, 10749]",12.907,['English'],8.2,"[3177, 3748, 4344, 6494, 9104, 9732, 12396, 156028, 164090, 164623, 164628, 164636, 164641, 207876]",2540800,False
132,"[9648, 53, 80]",7.845,"['Italian', 'English']",7.7,"[213, 642, 1326, 4516, 10818, 18249, 18300, 34094, 34117]",0,False
133,"[18, 10749]",22.892,"['French', 'Hindi', 'English']",7.7,"[100, 1332, 3301, 4110, 4325, 6784, 13014, 179431, 226580]",15000000,False
134,"[80, 35]",22.342,"['English', 'Russian']",7.8,"[392, 394, 395, 397, 398, 642, 900, 1385, 2792, 3149, 4931, 17977, 34117, 40903, 227892]",10000000,False
135,"[35, 10402, 10749, 80]",14.467,['English'],8.2,"[520, 1196, 3581, 4048, 10391, 12090, 13008, 15214, 160395, 160396, 160397, 160400, 160404, 160406]",2883848,False
136,"[80, 18]",17.928,['English'],7.9,"[818, 1897, 2517, 6054, 10683, 169875, 169878, 169885, 169886, 171387, 171826, 208349, 208611, 216919, 255356]",8000000,False
137,"[878, 28, 12]",79.942,['English'],7.4,"[582, 1612, 3822, 4040, 4300, 4379, 4380, 5100, 9675, 9684, 9685, 9686, 9882, 12388, 156282, 161176, 161184, 167982, 170881, 243802, 269769, 270381]",150000000,False
138,"[12, 28, 878]",22.799,['English'],7.9,"[380, 526, 1612, 2280, 2902, 5144, 10013, 10014, 10015, 161176]",32350000,False
139,"[80, 53]",11.62,"['French', 'English']",7.7,"[584, 1326, 1523, 2041, 4230, 5552, 6259, 8562, 9807, 9826, 12999, 14829, 155582, 167020, 177973, 199939, 208764, 225221, 227825, 234216, 238821]",1200000,False
140,[18],14.5,['English'],8.4,"[613, 888, 931, 1307, 1565, 2992, 6262, 9807, 11687, 12396, 12670, 12999, 41410, 155507, 157774, 188647, 237152, 241404, 246610]",1752000,False
141,[18],14.098,"['English', 'Hindi']",8.0,"[437, 931, 970, 5905, 6271, 7919, 9736, 10508, 14636, 157955, 193547]",2600000,False
